77,2005-08-02 01:16:59,2005-08-03 02:41:59,0.99,1,AMADEUS HOLY,Action
39,2005-08-18 04:26:54,2005-08-23 06:40:54,0.99,1,AMADEUS HOLY,Action
34,2005-06-20 20:35:28,2005-06-26 01:01:28,0.99,1,AMADEUS HOLY,Action
254,2005-07-09 05:01:58,2005-07-18 08:17:58,3.99,1,AMADEUS HOLY,Action
276,2005-07-30 08:02:39,2005-08-06 12:02:39,1.99,1,AMADEUS HOLY,Action
26,2005-08-21 17:51:06,2005-08-28 15:36:06,1.99,1,AMADEUS HOLY,Action
89,2005-05-28 12:08:37,2005-05-29 16:25:37,0.99,1,AMADEUS HOLY,Action
483,2005-06-20 00:08:38,2005-06-23 19:35:38,0.99,1,AMADEUS HOLY,Action
36,2005-07-11 02:37:51,2005-07-16 22:34:51,0.99,1,AMADEUS HOLY,Action
487,2005-07-28 07:21:55,2005-08-03 06:33:55,0.99,1,AMADEUS HOLY,Action
177,2005-08-21 07:44:32,2005-08-22 09:02:32,0.99,1,AMADEUS HOLY,Action
504,2005-08-01 11:25:28,2005-08-10 09:19:28,3.99,1,AMADEUS HOLY,Action
119,2005-08-21 08:54:53,2005-08-30 14:27:53,3.99,1,AMADEUS HOLY,Action
4,2005-06-16 15:51:52,2005-06-20 13:27:52,0.99,2,AMADEUS HOLY,Action
594,2005-07-05 22:59:53,2005-07-08 20:32:53,0.99,2,AMADEUS HOLY,Action
138,2005-07-30 14:37:44,2005-08-06 18:05:44,1.99,2,AMADEUS HOLY,Action
512,2006-02-14 15:16:03,\N,0.99,2,AMADEUS HOLY,Action
153,2005-06-19 10:20:09,2005-06-21 10:05:09,0.99,2,AMADEUS HOLY,Action
447,2005-07-12 10:57:28,2005-07-15 06:06:28,0.99,2,AMADEUS HOLY,Action
559,2005-07-29 14:08:06,2005-08-05 14:57:06,1.99,2,AMADEUS HOLY,Action
6,2005-08-17 08:12:20,2005-08-19 12:45:20,0.99,2,AMADEUS HOLY,Action
47,2005-05-26 08:04:38,2005-05-27 09:32:38,4.99,1,AMERICAN CIRCUS,Action
298,2005-06-15 19:49:41,2005-06-17 15:17:41,4.99,1,AMERICAN CIRCUS,Action
371,2005-07-07 06:52:23,2005-07-14 06:12:23,8.99,1,AMERICAN CIRCUS,Action
188,2005-08-01 20:22:44,2005-08-04 19:48:44,4.99,1,AMERICAN CIRCUS,Action
349,2005-08-22 04:44:10,2005-08-25 05:09:10,4.99,1,AMERICAN CIRCUS,Action
304,2005-05-25 21:58:58,2005-06-03 17:50:58,10.99,1,AMERICAN CIRCUS,Action
120,2005-06-19 19:18:27,2005-06-27 21:48:27,9.99,1,AMERICAN CIRCUS,Action
148,2005-07-12 16:37:55,2005-07-21 16:04:55,10.99,1,AMERICAN CIRCUS,Action
302,2005-07-30 19:10:03,2005-08-06 21:54:03,8.99,1,AMERICAN CIRCUS,Action
298,2005-08-23 08:13:26,2005-08-25 05:18:26,4.99,1,AMERICAN CIRCUS,Action
